year,rate
2002,32.47727272727273
2003,34.078500000000005
2004,40.255
2005,44.11571428571428
2006,49.6875
2007,46.755
2008,50.25928571428572
2009,45.245
2010,54.395833333333336
2011,67.91181818181818
2012,73.845
2013,73.84633333333333
2014,74.25346666666667
2015,65.9540425531915
2016,65.56755905511811
2017,71.2392469879518
2018,79.06954413191076
2019,75.55981006160165
2020,80.14335376044569
