year,rate
2002,20.46945945945946
2003,22.694285714285716
2004,27.231666666666666
2005,31.05875
2006,34.87583333333333
2007,32.87875
2008,35.51125
2009,33.865
2010,39.3355
2011,43.96333333333333
2012,47.305
2013,53.36295454545454
2014,58.34725
2015,49.65
2016,52.98762019230769
2017,58.393915343915346
2018,69.42672712053572
2019,67.92930311890838
2020,70.17982331643736
